分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 355, IPv6: 0, 最小延迟: 158 ms, 最高速率: 18.50 M/s, 平均速率: 8.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.89, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 10, IPv4: 344, IPv6: 0, 最小延迟: 204 ms, 最高速率: 16.35 M/s, 平均速率: 6.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.90, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 10, IPv4: 331, IPv6: 0, 最小延迟: 232 ms, 最高速率: 10.98 M/s, 平均速率: 5.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.89, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 10, IPv4: 395, IPv6: 0, 最小延迟: 144 ms, 最高速率: 15.10 M/s, 平均速率: 8.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 11, IPv4: 365, IPv6: 0, 最小延迟: 280 ms, 最高速率: 16.05 M/s, 平均速率: 3.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.52, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 197, IPv6: 0, 最小延迟: 5 ms, 最高速率: 13.91 M/s, 平均速率: 6.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 9, IPv4: 331, IPv6: 0, 最小延迟: 137 ms, 最高速率: 16.45 M/s, 平均速率: 5.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.11, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 10, IPv4: 326, IPv6: 0, 最小延迟: 163 ms, 最高速率: 11.36 M/s, 平均速率: 5.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.86, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 10, IPv4: 328, IPv6: 0, 最小延迟: 144 ms, 最高速率: 7.15 M/s, 平均速率: 3.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.94, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 10, IPv4: 336, IPv6: 0, 最小延迟: 175 ms, 最高速率: 18.95 M/s, 平均速率: 8.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.35, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 9, IPv4: 334, IPv6: 0, 最小延迟: 152 ms, 最高速率: 10.48 M/s, 平均速率: 4.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.18, 视频编解码器: h264, 音频编解码器: aac
